"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2,J1";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";2;"EXT-V";;;
2;"G***";"Logo_5000";1;"LOGO";;;
3;"JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";1;"SolderJumper_3_Bridged12";;;
4;"EXT-V1,EXT-V2";"fab-1X02";2;"PINHD-1x02-HEADER";;;
5;"C1";"fab-C1206FAB";1;"10n";;;
6;"C2";"fab-C1206FAB";1;"100n";;;
7;"C3,C4";"fab-C1206FAB";2;"1uF";;;
8;"FB1,FB2";"fab-R1206FAB";2;"1.5 kΩ";;;
9;"GROVEIN1,GROVEOUT1";"HW4-2.0";2;"GROVE-CONNECTOR-DIP_4P-2.0_";;;
10;"ISB_1,ISB_2";"fab-1X06";2;"PINHD-1x06-HEADER";;;
11;"JP2,JP3,JP4,JP5";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";4;"Jumper_2_Open";;;
12;"R1,R2,R3,R4,R5,R6";"fab-R1206FAB";6;"10k";;;
13;"T1,T2";"fab-SOT-23";2;"NMOSFET";;;
14;"U1";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
15;"I2,I3";"alphasense-isb";2;"alphasense-isb";;;
16;"M1";"ads11x5";1;"PINHD-1x10-HEADER";;;
