"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"GROVEIN1";"HW4-SMD-2.0-90D";1;"GROVE-CONNECTOR-SMD-90D_4+2P-2.0_";;;
2;"G***";"Logo_5000";1;"LOGO";;;
3;"J2,J1";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";2;"EXT-V";;;
4;"JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";1;"SolderJumper_3_Bridged12";;;
5;"C1";"fab-C1206FAB";1;"10n";;;
6;"C2";"fab-C1206FAB";1;"100n";;;
7;"C3,C4";"fab-C1206FAB";2;"1uF";;;
8;"FB1,FB2";"fab-R1206FAB";2;"1.5 kΩ";;;
9;"ISB_1,ISB_2";"fab-1X06";2;"PINHD-1x06-HEADER";;;
10;"JP2,JP4,JP5";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";3;"Jumper_2_Open";;;
11;"U1";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
12;"M1";"ads11x5";1;"PINHD-1x10-HEADER";;;
13;"M2";"fab-2X02SMD";1;"PINHD-2X2-SMD";;;
14;"R1,R2,R3,R4,R5,R6";"fab-R1206FAB";6;"10k";;;
15;"T1,T2";"fab-SOT-23";2;"NMOSFET";;;
16;"I1,I2";"alphasense-isb";2;"alphasense-isb";;;
17;"GROVEOUT1";"HW4-SMD-2.0-90D";1;"GROVE-CONNECTOR-DIP_4P-2.0_";;;
